Date,Temperature
2022-01-01,70
2022-01-02,84
2022-01-03,28
2022-01-04,50
2022-01-05,52
2022-01-06,75
2022-01-07,46
2022-01-08,94
2022-01-09,91
2022-01-10,85
2022-01-11,11
2022-01-12,41
2022-01-13,9
2022-01-14,22
2022-01-15,6
2022-01-16,58
2022-01-17,41
2022-01-18,41
2022-01-19,46
2022-01-20,91
2022-01-21,34
2022-01-22,83
2022-01-23,46
2022-01-24,65
2022-01-25,92
2022-01-26,49
2022-01-27,72
2022-01-28,1
2022-01-29,58
2022-01-30,71
2022-01-31,85
2022-02-01,83
2022-02-02,11
2022-02-03,37
2022-02-04,94
2022-02-05,47
2022-02-06,99
2022-02-07,94
2022-02-08,51
2022-02-09,74
2022-02-10,82
2022-02-11,30
2022-02-12,11
2022-02-13,92
2022-02-14,36
2022-02-15,87
2022-02-16,48
2022-02-17,37
2022-02-18,61
2022-02-19,61
2022-02-20,7
2022-02-21,96
2022-02-22,39
2022-02-23,32
2022-02-24,51
2022-02-25,59
2022-02-26,29
2022-02-27,74
2022-02-28,34
2022-03-01,10
2022-03-02,52
2022-03-03,21
2022-03-04,4
2022-03-05,48
2022-03-06,77
2022-03-07,16
2022-03-08,34
2022-03-09,100
2022-03-10,6
2022-03-11,16
2022-03-12,68
2022-03-13,59
2022-03-14,97
2022-03-15,52
2022-03-16,71
2022-03-17,65
2022-03-18,57
2022-03-19,20
2022-03-20,92
2022-03-21,32
2022-03-22,1
2022-03-23,58
2022-03-24,63
2022-03-25,36
2022-03-26,47
2022-03-27,28
2022-03-28,49
2022-03-29,14
2022-03-30,94
2022-03-31,99
2022-04-01,15
2022-04-02,58
2022-04-03,82
2022-04-04,55
2022-04-05,64
2022-04-06,88
2022-04-07,1
2022-04-08,31
2022-04-09,18
2022-04-10,65
2022-04-11,79
2022-04-12,62
2022-04-13,32
2022-04-14,96
2022-04-15,12
2022-04-16,52
2022-04-17,30
2022-04-18,1
2022-04-19,15
2022-04-20,39
2022-04-21,64
2022-04-22,22
2022-04-23,43
2022-04-24,67
2022-04-25,86
2022-04-26,55
2022-04-27,28
2022-04-28,48
2022-04-29,44
2022-04-30,40
2022-05-01,9
2022-05-02,10
2022-05-03,34
2022-05-04,62
2022-05-05,49
2022-05-06,40
2022-05-07,69
2022-05-08,83
2022-05-09,65
2022-05-10,5
2022-05-11,77
2022-05-12,26
2022-05-13,87
2022-05-14,53
2022-05-15,13
2022-05-16,72
2022-05-17,80
2022-05-18,19
2022-05-19,64
2022-05-20,27
2022-05-21,50
2022-05-22,69
2022-05-23,70
2022-05-24,46
2022-05-25,79
2022-05-26,1
2022-05-27,18
2022-05-28,26
2022-05-29,47
2022-05-30,14
2022-05-31,29
2022-06-01,68
2022-06-02,74
2022-06-03,42
2022-06-04,47
2022-06-05,12
2022-06-06,98
2022-06-07,80
2022-06-08,75
2022-06-09,18
2022-06-10,14
2022-06-11,32
2022-06-12,67
2022-06-13,36
2022-06-14,86
2022-06-15,47
2022-06-16,91
2022-06-17,89
2022-06-18,94
2022-06-19,47
2022-06-20,74
2022-06-21,90
2022-06-22,47
2022-06-23,34
2022-06-24,31
2022-06-25,15
2022-06-26,59
2022-06-27,79
2022-06-28,8
2022-06-29,74
2022-06-30,95
2022-07-01,98
2022-07-02,71
2022-07-03,72
2022-07-04,28
2022-07-05,4
2022-07-06,16
2022-07-07,76
2022-07-08,4
2022-07-09,56
2022-07-10,5
2022-07-11,86
2022-07-12,89
2022-07-13,70
2022-07-14,60
2022-07-15,3
2022-07-16,0
2022-07-17,8
2022-07-18,89
2022-07-19,42
2022-07-20,94
2022-07-21,28
2022-07-22,94
2022-07-23,2
2022-07-24,56
2022-07-25,19
2022-07-26,95
2022-07-27,2
2022-07-28,50
2022-07-29,16
2022-07-30,25
2022-07-31,37
2022-08-01,15
2022-08-02,23
2022-08-03,92
2022-08-04,97
2022-08-05,14
2022-08-06,70
2022-08-07,81
2022-08-08,68
2022-08-09,34
2022-08-10,49
2022-08-11,20
2022-08-12,43
2022-08-13,36
2022-08-14,24
2022-08-15,22
2022-08-16,99
2022-08-17,86
2022-08-18,64
2022-08-19,7
2022-08-20,43
2022-08-21,58
2022-08-22,95
2022-08-23,47
2022-08-24,45
2022-08-25,74
2022-08-26,1
2022-08-27,64
2022-08-28,23
2022-08-29,57
2022-08-30,24
2022-08-31,80
2022-09-01,31
2022-09-02,99
2022-09-03,16
2022-09-04,42
2022-09-05,7
2022-09-06,76
2022-09-07,100
2022-09-08,56
2022-09-09,64
2022-09-10,52
2022-09-11,40
2022-09-12,24
2022-09-13,31
2022-09-14,64
2022-09-15,23
2022-09-16,79
2022-09-17,98
2022-09-18,4
2022-09-19,83
2022-09-20,55
2022-09-21,9
2022-09-22,93
2022-09-23,7
2022-09-24,52
2022-09-25,30
2022-09-26,1
2022-09-27,43
2022-09-28,55
2022-09-29,8
2022-09-30,64
2022-10-01,0
2022-10-02,48
2022-10-03,69
2022-10-04,76
2022-10-05,71
2022-10-06,30
2022-10-07,23
2022-10-08,92
2022-10-09,6
2022-10-10,50
2022-10-11,84
2022-10-12,15
2022-10-13,54
2022-10-14,32
2022-10-15,81
2022-10-16,62
2022-10-17,20
2022-10-18,43
2022-10-19,58
2022-10-20,64
2022-10-21,83
2022-10-22,20
2022-10-23,28
2022-10-24,87
2022-10-25,3
2022-10-26,12
2022-10-27,78
2022-10-28,46
2022-10-29,82
2022-10-30,61
2022-10-31,24
2022-11-01,55
2022-11-02,43
2022-11-03,61
2022-11-04,46
2022-11-05,29
2022-11-06,92
2022-11-07,88
2022-11-08,86
2022-11-09,47
2022-11-10,25
2022-11-11,28
2022-11-12,65
2022-11-13,25
2022-11-14,50
2022-11-15,5
2022-11-16,50
2022-11-17,95
2022-11-18,60
2022-11-19,100
2022-11-20,63
2022-11-21,6
2022-11-22,98
2022-11-23,86
2022-11-24,93
2022-11-25,29
2022-11-26,27
2022-11-27,56
2022-11-28,59
2022-11-29,75
2022-11-30,50
2022-12-01,97
2022-12-02,47
2022-12-03,12
2022-12-04,70
2022-12-05,64
2022-12-06,5
2022-12-07,78
2022-12-08,4
2022-12-09,62
2022-12-10,14
2022-12-11,60
2022-12-12,93
2022-12-13,34
2022-12-14,73
2022-12-15,39
2022-12-16,55
2022-12-17,4
2022-12-18,65
2022-12-19,12
2022-12-20,17
2022-12-21,98
2022-12-22,37
2022-12-23,58
2022-12-24,69
2022-12-25,58
2022-12-26,11
2022-12-27,100
2022-12-28,30
2022-12-29,16
2022-12-30,59
